Shield Mutation #0: GearDamage
Tier chances: 0, 0, 0, 0, 0, 0, 0, 0, 1

    - Chance: 5%:
        GearDamage = 1

    - Chance: 10%:
        GearDamage = 2

    - Chance: 16%:
        GearDamage = 3

    - Chance: 16%:
        GearDamage = 4

    - Chance: 17%:
        GearDamage = 5

    - Chance: 17%:
        GearDamage = 6

    - Chance: 11%:
        GearDamage = 7

    - Chance: 5%:
        GearDamage = 8

    - Chance: 2%:
        GearDamage = 9

    - Chance: 1%:
        GearDamage = 10

Shield Mutation #1: GearCritDamage

Tier chances: 0, 0, 0, 0, 0, 0, 0, 0, 1

    - Chance: 4%:
        GearCritDamage = 1

    - Chance: 6%:
        GearCritDamage = 2

    - Chance: 7%:
        GearCritDamage = 3

    - Chance: 9%:
        GearCritDamage = 4

    - Chance: 9%:
        GearCritDamage = 5

    - Chance: 11%:
        GearCritDamage = 6

    - Chance: 12%:
        GearCritDamage = 7

    - Chance: 11%:
        GearCritDamage = 8

    - Chance: 9%:
        GearCritDamage = 9

    - Chance: 7%:
        GearCritDamage = 10

    - Chance: 5%:
        GearCritDamage = 11

    - Chance: 4%:
        GearCritDamage = 12

    - Chance: 3%:
        GearCritDamage = 13

    - Chance: 2%:
        GearCritDamage = 14

    - Chance: 1%:
        GearCritDamage = 15

Shield Mutation #2: Overpower

Tier chances: 0, 0, 0, 0, 0, 0, 0, 0, 1

    - Chance: 5%:
        Overpower = 1

    - Chance: 10%:
        Overpower = 2

    - Chance: 16%:
        Overpower = 3

    - Chance: 16%:
        Overpower = 4

    - Chance: 17%:
        Overpower = 5

    - Chance: 17%:
        Overpower = 6

    - Chance: 11%:
        Overpower = 7

    - Chance: 5%:
        Overpower = 8

    - Chance: 2%:
        Overpower = 9

    - Chance: 1%:
        Overpower = 10

Shield Mutation #3: OverpowerResist

Tier chances: 0, 0, 0, 0, 0, 0, 0, 0, 1

    - Chance: 5%:
        OverpowerResist = 1

    - Chance: 10%:
        OverpowerResist = 2

    - Chance: 16%:
        OverpowerResist = 3

    - Chance: 16%:
        OverpowerResist = 4

    - Chance: 17%:
        OverpowerResist = 5

    - Chance: 17%:
        OverpowerResist = 6

    - Chance: 11%:
        OverpowerResist = 7

    - Chance: 5%:
        OverpowerResist = 8

    - Chance: 2%:
        OverpowerResist = 9

    - Chance: 1%:
        OverpowerResist = 10

